ベンダ,GRAPHTEC Corporation
モデル,GL240
ファームウェア,Ver1.55
ソフトウェア, "Ver1.31"
最大CH数,10CH
GS開始CH
WL開始CH,10CH
測定間隔,100ms
測定点数,360533      
トリガ点,0           
開始時刻,2024-05-23,09:12:59
終了時刻,2024-05-23,19:13:55
トリガ時刻,2024-05-23,09:13:02
AC Mode, AC1_2, AC1_2
Logic/Pulse,Off,Off
アンプ設定
CH,信号名,アンプ,入力,レンジ,温度レンジ,フィルタ,スパン,,単位
CH1,CH 1,M,DC,100V,,Off,50.000000,-50.000000,V
CH2,CH 2,M,DC,100V,,Off,50.000000,-50.000000,V
CH3,CH 3,M,DC,100V,,Off,50.000000,-50.000000,V
CH4,CH 4,M,DC,100V,,Off,50.000000,-50.000000,V
CH5,CH 5,M,DC,100V,,Off,50.000000,-50.000000,V
CH6,CH 6,M,DC,100V,,Off,50.000000,-50.000000,V
CH7,CH 7,M,DC,100V,,Off,50.000000,-50.000000,V
CH8,CH 8,M,DC,100V,,Off,50.000000,-50.000000,V
CH9,CH 9,M,DC,100V,,Off,50.000000,-50.000000,V
CH10,CH10,M,DC,100V,,Off,50.000000,-50.000000,V
測定値
番号,日付 時間,ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,Alarm1,AlarmOut
NO.,Time,ms,V,V,V,V,V,V,V,V,V,V,A1234567890,A123456789
1,2024-05-23 09:13:02,000,+0.41,+1.52,+0.01,-0.22,-0.02,+0.00,+0.00,+0.01,-0.51,+0.45,LLLLLLLLLL,LLLLLLLLL
2,2024-05-23 09:13:02,100,+0.41,+1.37,+0.01,-0.22,-0.03,+0.00,+0.01,+0.01,-0.51,+0.45,LLLLLLLLLL,LLLLLLLLL
3,2024-05-23 09:13:02,200,+0.40,+1.24,+0.01,-0.23,-0.02,-0.01,+0.01,+0.00,-0.51,+0.44,LLLLLLLLLL,LLLLLLLLL
4,2024-05-23 09:13:02,300,+0.39,+1.10,+0.01,-0.22,-0.03,-0.01,+0.00,+0.01,-0.51,+0.43,LLLLLLLLLL,LLLLLLLLL
5,2024-05-23 09:13:02,400,+0.40,+0.94,+0.01,-0.22,-0.03,-0.01,+0.01,+0.01,-0.51,+0.42,LLLLLLLLLL,LLLLLLLLL
6,2024-05-23 09:13:02,500,+0.39,+0.79,+0.01,-0.22,-0.02,-0.01,+0.00,+0.01,-0.51,+0.42,LLLLLLLLLL,LLLLLLLLL
7,2024-05-23 09:13:02,600,+0.39,+0.65,+0.01,-0.22,-0.02,-0.01,+0.00,+0.01,-0.51,+0.42,LLLLLLLLLL,LLLLLLLLL
8,2024-05-23 09:13:02,700,+0.39,+0.49,+0.01,-0.23,-0.02,-0.01,+0.00,+0.00,-0.51,+0.42,LLLLLLLLLL,LLLLLLLLL
9,2024-05-23 09:13:02,800,+0.39,+0.33,+0.01,-0.23,-0.02,-0.01,+0.00,+0.01,-0.50,+0.41,LLLLLLLLLL,LLLLLLLLL
10,2024-05-23 09:13:02,900,+0.36,+0.17,+0.01,-0.23,-0.03,+0.00,+0.00,+0.01,-0.49,+0.39,LLLLLLLLLL,LLLLLLLLL
11,2024-05-23 09:13:03,000,+0.35,+0.01,+0.01,-0.23,-0.03,-0.01,+0.00,+0.00,-0.49,+0.39,LLLLLLLLLL,LLLLLLLLL
12,2024-05-23 09:13:03,100,+0.33,-0.15,+0.01,-0.22,-0.03,-0.01,+0.00,+0.00,-0.48,+0.39,LLLLLLLLLL,LLLLLLLLL
13,2024-05-23 09:13:03,200,+0.30,-0.30,+0.01,-0.23,-0.02,-0.01,+0.01,+0.01,-0.48,+0.37,LLLLLLLLLL,LLLLLLLLL
